,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,count,median_year
0,Adje,0.007390000000000002,0.847,137595.0,0.573,0.0149,0.0845,-6.032,0.253,99.919,0.332,72.0,2,2017
1,Alida,0.177,0.57,208222.0,0.672,0.0,0.0768,-5.89,0.0723,120.019,0.448,86.0,2,2020
2,Alkilados,0.195,0.78,275946.0,0.845,0.0,0.284,-4.748,0.0724,95.981,0.6940000000000001,61.0,1,2014
3,Andreas Moss,0.41,0.511,242680.0,0.629,0.0,0.162,-7.755,0.151,129.924,0.0442,67.0,2,2016
4,Arrow Benjamin,0.0103,0.319,213019.0,0.846,4.11e-05,0.475,-6.109,0.0796,139.16299999999998,0.0784,67.0,2,2015
5,Asian Doll,0.00708,0.907,267193.0,0.638,4.33e-06,0.434,-8.012,0.32,109.971,0.647,62.0,1,2020
6,Ayah Marar,0.00262,0.725,247933.0,0.8740000000000001,0.000412,0.0958,-3.715,0.0396,127.985,0.748,67.0,2,2012
7,BAINS.,0.14,0.716,141176.0,0.5579999999999999,1.2e-05,0.0712,-9.013,0.392,169.741,0.6609999999999999,62.0,2,2018
8,Baby Ariel,0.124,0.7759999999999999,150793.0,0.915,1.28e-05,0.173,-7.7879999999999985,0.0677,127.969,0.5,65.0,2,2020
9,Black Bear,0.173265,0.557,242653.5,0.475,0.0755,0.22150000000000009,-11.353,0.1173,130.22750000000002,0.16849999999999998,49.0,4,2014
10,Bryce Hall,0.5760000000000001,0.925,161935.0,0.222,0.0,0.116,-15.385,0.421,124.882,0.633,70.0,2,2020
11,Carlos Baute,0.5336666666666666,0.754,189906.66666666663,0.6783333333333333,0.0,0.11766666666666666,-5.8850000000000025,0.0373,106.72766666666666,0.7936666666666667,65.0,3,2009
12,Chandler Kinney,0.10895,0.7809999999999999,153818.0,0.8725,6.4e-06,0.1455,-7.508999999999999,0.09785,129.4845,0.7165,64.5,2,2020
13,Chiddy,0.0141,0.8170000000000001,196456.0,0.7090000000000001,0.0,0.0756,-5.682,0.0541,114.012,0.647,49.0,2,2013
14,Conway the Machine,0.946,0.6509999999999999,206027.0,0.493,0.0,0.152,-11.18,0.317,75.729,0.7040000000000001,64.0,2,2020
15,Costi,0.122,0.529,216667.0,0.794,0.0,0.117,-3.903,0.16399999999999998,119.956,0.5429999999999999,61.0,2,2014
16,DRAM,0.3882666666666667,0.7839999999999999,204457.33333333328,0.5255,4.516666666666667e-06,0.10461666666666668,-7.348,0.12788333333333335,136.15666666666667,0.5429999999999999,58.33333333333334,6,2016
17,Danger Doom,0.11011111111111113,0.6535555555555556,171417.66666666663,0.6883333333333335,0.00215438,0.3190444444444445,-7.377666666666666,0.2421888888888889,115.22522222222223,0.6513333333333333,47.77777777777778,9,2005
18,Diane Coffee,0.118,0.608,225720.0,0.726,0.564,0.509,-9.483,0.111,165.011,0.294,50.0,2,2014
19,DreamDoll,0.275,0.573,190005.0,0.747,0.0,0.147,-4.558,0.196,97.327,0.43,63.0,1,2020
20,El Roockie,0.195,0.78,275946.0,0.845,0.0,0.284,-4.748,0.0724,95.981,0.6940000000000001,61.0,1,2014
21,G-Nine,0.0198,0.7879999999999999,102867.0,0.747,0.0,0.386,-4.455,0.222,164.96,0.622,63.0,2,2019
22,GRACEY,0.219,0.807,208191.0,0.443,0.0,0.105,-8.683,0.284,120.109,0.525,68.0,1,2020
23,Ghostface,0.132,0.5660000000000001,279453.0,0.871,0.0,0.0824,-7.022,0.444,92.884,0.7040000000000001,36.0,1,2003
24,Grady,0.636,0.72,203085.0,0.382,4.52e-06,0.281,-8.119,0.0284,97.107,0.7070000000000001,64.0,2,2020
25,Grandmaster Caz,0.0916,0.828,292593.0,0.609,1.21e-06,0.29100000000000004,-4.402,0.0694,109.725,0.7070000000000001,69.0,1,2016
26,Horacio Palencia,0.223,0.675,221347.0,0.821,5.11e-05,0.149,-6.017,0.0668,170.16299999999995,0.96,62.0,2,2019
27,Jake Miller,0.0144,0.802,176040.0,0.523,2.21e-05,0.0716,-7.535,0.0437,105.016,0.379,51.0,1,2014
28,Joell Ortiz,0.0454,0.635,303000.0,0.5429999999999999,0.000678,0.272,-5.941,0.067,98.743,0.036000000000000004,68.0,2,2020
29,Josh Richards,0.5760000000000001,0.925,161935.0,0.222,0.0,0.116,-15.385,0.421,124.882,0.633,70.0,1,2020
30,Joshua Bassett,0.521,0.5215000000000001,181983.0,0.3295,4.625e-05,0.132,-9.829,0.0396,119.63349999999996,0.387,66.0,4,2020
