,from,to,liste_collabs,nb_collab
0,Fat Joe,Ja Rule,"[""What's Luv? (feat. Ja-Rule & Ashanti)""]",1
1,Grimes,Majical Cloudz,['Nightmusic'],1
2,Killer Mike,Bun B,"['Big Beast (feat. Bun B, T.I., and Trouble)']",1
3,Killer Mike,Trouble,"['Big Beast (feat. Bun B, T.I., and Trouble)']",1
4,Bun B,Trouble,"['Big Beast (feat. Bun B, T.I., and Trouble)']",1
5,T.I.,Trouble,"['Big Beast (feat. Bun B, T.I., and Trouble)']",1
6,Don Omar,Natti Natasha,['Dutty Love'],1
7,Lil Wayne,Soulja Boy,['Trigger Finger'],1
8,Becky G,Pitbull,"[""Can't Get Enough (feat. Pitbull)""]",1
9,Ariana Grande,A$AP Ferg,['Hands On Me'],1
10,Jake Miller,Travie McCoy,['Dazed and Confused (feat. Travie McCoy)'],1
11,Alkilados,J Alvarez,['Una Cita - Remix'],1
12,Alkilados,El Roockie,['Una Cita - Remix'],1
13,Alkilados,Nicky Jam,['Una Cita - Remix'],1
14,J Alvarez,El Roockie,['Una Cita - Remix'],1
15,J Alvarez,Nicky Jam,['Una Cita - Remix'],1
16,El Roockie,Nicky Jam,['Una Cita - Remix'],1
17,Omarion,Kid Ink,"[""I'm Up (feat. Kid Ink & French Montana)""]",1
18,Baby Rasta & Gringo,Kendo,['Llegamos A La Disco'],1
19,Omarion,French Montana,"[""I'm Up (feat. Kid Ink & French Montana)""]",1
20,Farruko,Kendo,['Llegamos A La Disco'],1
21,Arcangel,Kendo,['Llegamos A La Disco'],1
22,"Franco ""El Gorilla""",Yandel,['Sexo Seguro'],1
23,Leessang,Jung In,"[""헤어지지 못하는 여자, 떠나가지 못하는 남자 Can't Breakup Girl, Can't Breakaway Boy (feat. 정인 Jung In)""]",1
24,Usher,JAY-Z,['Hot Tottie (feat. Jay-Z)'],1
25,A.R. Rahman,Javed Ali,['Kun Faya Kun'],1
26,A.R. Rahman,Mohit Chauhan,['Kun Faya Kun'],1
