,artist,genre,artists_collab,degree,sous_genre
0,KK,pop,"['Shilpa Rao', 'Shreya Ghoshal', 'Shaan', 'Shankar-Ehsaan-Loy']",4,pop
1,Louis Tomlinson,pop,['Bebe Rexha'],1,pop
2,"Lisa ""Left Eye"" Lopes",pop,['*NSYNC'],1,pop
3,Little Mix,pop,"['Jason Derulo', 'Charlie Puth', 'Machine Gun Kelly', 'Nicki Minaj', 'Sean Paul']",5,dance pop
4,Lizzo,pop,"['Missy Elliott', 'Ariana Grande']",2,dance pop
5,Lloyd,pop,"['Lil Wayne', 'Drake', 'Jeezy']",3,dance pop
6,Loco,pop,"['Hwa Sa', 'Jay Park']",2,pop
7,Loon,pop,"['Kelis', 'Usher', 'Faith Evans', 'Ginuwine']",4,pop
8,Loote,pop,"['David Guetta', 'gnash']",2,dance pop
9,Lorde,pop,['SZA'],1,pop
10,Loren Gray,pop,['Lost Kings'],1,pop
11,Lost Kings,pop,"['Norma Jean Martine', 'Loren Gray', 'Wiz Khalifa', 'Emily Warren', 'Madison Beer', 'Social House']",6,dance pop
12,Loud Luxury,pop,"['Morgan St. Jean', 'Nicky Jam', 'Pitbull', 'Bryce Vine', 'Brando']",5,dance pop
13,Lucas Grabeel,pop,"['High School Musical Cast', 'Vanessa Hudgens', 'Corbin Bleu']",3,pop
14,Lilly Wood and The Prick,pop,['Robin Schulz'],1,pop
15,Lucy Dacus,pop,['Phoebe Bridgers'],1,pop
16,Lukas Graham,pop,['G-Eazy'],1,pop
17,Luke Benward,pop,['Dove Cameron'],1,pop
18,Lumidee,pop,"['Fabolous', 'Fat Joe', 'Nina Sky', 'Busta Rhymes']",4,pop
19,Lyfe Jennings,pop,['Erin'],1,pop
20,Lykke Li,pop,['Drake'],1,pop
21,M.I.A.,pop,"['A$AP Rocky', 'Future', 'Young Thug', 'Joe Fox', 'Bun B']",5,dance pop
22,MAX,pop,"['Felly', 'Rags Cast', 'Ashe', 'Hoodie Allen', 'Quinn XCII', 'Hayley Kiyoko', 'gnash']",7,dance pop
23,MERCE,pop,['T.I.'],1,pop
24,MK,pop,['Becky Hill'],1,dance pop
25,MNEK,pop,"['Joel Corry', 'Matoma', 'Zara Larsson']",3,pop
26,Lily Allen,pop,"['P!nk', 'Wiz Khalifa', 'T-Pain']",3,dance pop
27,Lil Mama,pop,"['Chris Brown', 'Avril Lavigne', 'T-Pain']",3,pop
28,Mabel,pop,['Clean Bandit'],1,dance pop
29,Labrinth,pop,"['Noah Cyrus', 'Emeli Sandé', 'Zendaya']",3,pop
30,Kiko el Crazy,pop,['Jowell & Randy'],1,pop
31,Kim Petras,pop,"['K/DA', 'Madison Beer']",2,pop
32,Kina,pop,['Adriana Proenza'],1,pop
